id,condition,stage,gold,logged_raw_output,prediction,old_correct,recalculated_correct,scoring_error,logged_model_field
cond_01,B_cherokee_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
cond_01,D_oracle_symbolic,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
cond_02,A_english_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
cond_02,B_cherokee_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
cond_02,D_oracle_symbolic,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
cond_03,A_english_natural,logic_pilot,unknown,unknown,unknown,True,True,False,claude-sonnet-5-interactive
cond_03,B_cherokee_natural,logic_pilot,unknown,unknown,unknown,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
cond_03,D_oracle_symbolic,logic_pilot,unknown,unknown,unknown,True,True,False,claude-sonnet-5-interactive
cond_04,A_english_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
cond_04,B_cherokee_natural,logic_pilot,contradicted,unknown,unknown,False,False,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
cond_04,D_oracle_symbolic,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
cond_05,A_english_natural,logic_pilot,unknown,unknown,unknown,True,True,False,claude-sonnet-5-interactive
cond_05,B_cherokee_natural,logic_pilot,unknown,unknown,unknown,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
cond_05,D_oracle_symbolic,logic_pilot,unknown,unknown,unknown,True,True,False,claude-sonnet-5-interactive
quant_01,A_english_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
quant_01,B_cherokee_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
quant_01,D_oracle_symbolic,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
quant_02,A_english_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
quant_02,B_cherokee_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
quant_02,D_oracle_symbolic,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
quant_03,A_english_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
quant_03,B_cherokee_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
quant_03,D_oracle_symbolic,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
quant_04,A_english_natural,logic_pilot,unknown,unknown,unknown,True,True,False,claude-sonnet-5-interactive
quant_04,B_cherokee_natural,logic_pilot,unknown,unknown,unknown,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
quant_04,D_oracle_symbolic,logic_pilot,unknown,unknown,unknown,True,True,False,claude-sonnet-5-interactive
quant_05,A_english_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
quant_05,B_cherokee_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
quant_05,D_oracle_symbolic,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
spat_01,A_english_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
spat_01,B_cherokee_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
spat_01,D_oracle_symbolic,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
spat_02,A_english_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
spat_02,B_cherokee_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
spat_02,D_oracle_symbolic,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
spat_03,A_english_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
spat_03,B_cherokee_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
spat_03,D_oracle_symbolic,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
spat_04,A_english_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
spat_04,B_cherokee_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
spat_04,D_oracle_symbolic,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
spat_05,A_english_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
spat_05,B_cherokee_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
spat_05,D_oracle_symbolic,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
neg_01,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,contradicted,"{""english_translation"": ""Lawim does not attend school. Lawim has/attends school."", ""answer"": ""contradicted""}",contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
neg_02,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,contradicted,"{""english_translation"": ""Asdayi is not married. Asdayi is married."", ""answer"": ""contradicted""}",contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
neg_03,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,contradicted,"{""english_translation"": ""Nine's car is not upstairs. Nine has his own car."", ""answer"": ""entailed""}",entailed,False,False,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
neg_04,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,entailed,"{""english_translation"": ""It is not true that the puppy/baby does not cry (i.e., it does cry). The puppy/baby cries."", ""answer"": ""entailed""}",entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
neg_05,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,contradicted,"{""english_translation"": ""Danyili did not want the candy/fast food. Danyili wanted the candy/fast food."", ""answer"": ""contradicted""}",contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
cond_01,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,entailed,"{""english_translation"": ""If Ama starts studying, she will understand/learn it. Ama is starting to study. Ama understands."", ""answer"": ""entailed""}",entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
cond_02,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,entailed,"{""english_translation"": ""If it rains, Maya stays at home. It is raining. Maya stays (home)."", ""answer"": ""entailed""}",entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
cond_03,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,unknown,"{""english_translation"": ""If Noah does his homework, he tries hard. Noah tries hard. Noah did his homework."", ""answer"": ""unknown""}",unknown,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
cond_04,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,contradicted,"{""english_translation"": ""If Evi smokes cigarettes, he will have trouble breathing every day. Evi does not vomit/get sick every day. Evi smokes."", ""answer"": ""unknown""}",unknown,False,False,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
cond_05,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,unknown,"{""english_translation"": ""If Liyo plants seeds, plants will grow. Liyo does not plant seeds. Plants do not grow."", ""answer"": ""unknown""}",unknown,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
quant_01,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,entailed,"{""english_translation"": ""All teachers are writers. Maria is a teacher. Maria is a writer."", ""answer"": ""entailed""}",entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
quant_02,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,contradicted,"{""english_translation"": ""No [Gasgini, a group] are students. Bilikisi is Gasgini. Bilikisi is a student."", ""answer"": ""contradicted""}",contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
quant_03,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,entailed,"{""english_translation"": ""All teachers are hard workers. Some teachers are singers. Some singers are hard workers."", ""answer"": ""entailed""}",entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
quant_04,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,unknown,"{""english_translation"": ""Some dancers/performers are hunters. Some dancers/performers are singers. Some hunters are singers."", ""answer"": ""unknown""}",unknown,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
quant_05,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,entailed,"{""english_translation"": ""No doctors are [liars/dishonest people]. Some doctors are writers. Some writers are not [liars/dishonest people]."", ""answer"": ""entailed""}",entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
spat_01,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,entailed,"{""english_translation"": ""The deer is next to/borders the wolf at the camp. The wolf is next to/borders the food at the camp. The deer is next to/borders the food at the camp."", ""answer"": ""unknown""}",unknown,False,False,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
spat_02,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,entailed,"{""english_translation"": ""Maya is north of Noah. Noah is north of Lawim. Maya is north of Lawim."", ""answer"": ""entailed""}",entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
spat_03,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,entailed,"{""english_translation"": ""Igasdi is behind the store. The store is in front of Igasdi."", ""answer"": ""entailed""}",entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
spat_04,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,contradicted,"{""english_translation"": ""The bathroom is west of the exit. The office is west of the bathroom. The office is east of the exit."", ""answer"": ""contradicted""}",contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
spat_05,C_v2_cherokee_to_english_then_answer,logic_pilot_v2,contradicted,"{""english_translation"": ""The red box is above the orange box. The orange box is above the [new/other] box. The [new/other] box is above the red box."", ""answer"": ""contradicted""}",contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a878ac8fa20bcba4c)
